Faults Injected:;101

Fault Effect;#Effect;PVF
Masked;61;0.6039603960396039
SDCs;4;0.039603960396039604
Crashes;21;0.2079207920792079
Hangs;15;0.1485148514851485


Detected SDCs:;0
SDC Coverage (%):;0.0

FaultModels SDCs:
FaultModel ;#SDCs;percentage
Random bit-flip;2;50.0
Double bit-flip;2;50.0

FaultModels Crashes:
FaultModel ;#Crashes;percentage
Single bit-flip;9;42.857142857142854
Double bit-flip;8;38.095238095238095
Random bit-flip;4;19.047619047619047

FaultModels Hangs:
FaultModel ;#Hangs;percentage
Double bit-flip;7;46.666666666666664
Random bit-flip;4;26.666666666666668
Single bit-flip;4;26.666666666666668

Variables that caused SDCs:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
33.33333333333333;6;2;fo;smith_waterman.c;278
12.5;8;1;match_score;smith_waterman.c;7
33.33333333333333;3;1;mismatch_score;smith_waterman.c;8

Variables that caused Crash:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
80.0;5;4;fo;smith_waterman.c;79
50.0;6;3;fo;smith_waterman.c;278
100.0;3;3;x_num;smith_waterman.c;79
100.0;2;2;str_y;smith_waterman.c;79
100.0;2;2;str_y;smith_waterman.c;286
66.66666666666666;3;2;str_x;smith_waterman.c;79
100.0;1;1;i;smith_waterman.c;83
100.0;1;1;str_x;smith_waterman.c;285
100.0;1;1;matrix;smith_waterman.c;81
100.0;1;1;y_num;smith_waterman.c;79
50.0;2;1;j;smith_waterman.c;88

Variables that caused Hang:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
87.5;8;7;match_score;smith_waterman.c;7
100.0;5;5;gap_score;smith_waterman.c;9
66.66666666666666;3;2;mismatch_score;smith_waterman.c;8
33.33333333333333;3;1;str_x;smith_waterman.c;79